Label,fish-in-nuclei,C2-in-nuclei,C4-in-nuclei,fish-in-cyto,C2-in-cyto,C4-in-cyto,X,Y,Z,Volume
1,9.563,5.236,8.198,7.878,3.014,7.791,576.901,426.928,6.535,40704
2,11.893,18.125,8.751,12.220,6.012,9.458,489.375,278.615,8.333,59992
3,8.962,2.362,7.923,6.543,1.946,6.423,456.084,474.337,9.090,24356
4,11.126,15.633,9.168,10.530,5.011,9.328,617.060,296.645,12.582,44332
5,11.850,15.040,8.488,10.044,12.366,7.599,411.734,372.266,10.074,1128
6,9.955,20.869,8.451,11.959,6.874,11.498,511.065,428.917,11.221,34444
7,11.277,2.663,7.959,7.462,1.537,4.430,448.928,183.662,13.584,9952
8,10.098,2.845,8.825,7.464,3.398,6.230,390.887,295.393,11.734,27924
9,7.176,1.785,7.176,6.491,1.502,6.888,550.475,544.732,12.453,54408
10,10.066,2.953,8.483,5.811,1.008,4.538,493.944,613.890,12.197,16084
11,10.627,15.600,9.322,11.425,7.760,11.533,520.120,361.324,9.691,70160
12,8.632,2.180,8.886,6.893,2.065,7.104,366.764,455.576,13.907,28864
13,10.393,15.221,8.992,8.253,3.539,8.081,661.180,395.822,15.432,59636
14,8.211,1.990,7.662,6.498,1.497,6.890,645.478,507.470,15.267,25860
15,11.006,31.580,9.227,15.070,7.740,14.501,547.946,308.634,15.936,26432
16,7.752,1.698,6.672,5.120,0.938,3.863,590.188,621.208,16.301,32148
17,12.658,25.446,9.347,12.277,5.398,8.665,518.378,180.977,16.992,19696
18,13.669,26.889,8.610,18.534,7.279,12.928,458.245,239.708,17.859,38368
19,10.810,2.630,8.165,5.769,1.053,4.306,330.592,499.306,18.348,15932
20,10.810,2.999,8.604,6.071,0.996,3.821,557.414,673.323,18.665,16576
21,10.111,28.476,7.982,15.277,9.173,12.384,585.445,409.493,19.222,29492
22,10.856,27.303,7.992,13.611,7.861,11.374,367.021,362.957,19.473,36608
23,9.716,2.161,8.733,7.934,1.606,8.645,430.607,601.622,22.183,17896
24,9.426,26.994,7.731,17.779,7.146,12.526,520.063,475.377,21.761,20940
25,9.462,26.245,7.840,14.568,6.243,12.026,576.462,473.866,21.520,46056
26,9.243,24.304,8.128,12.530,9.971,11.889,424.862,455.717,21.760,29284
27,9.699,20.240,7.372,15.003,7.793,13.542,409.674,278.699,26.085,22380
28,14.826,3.557,133.533,10.737,2.415,25.798,456.791,535.995,24.012,14276
29,7.770,1.694,6.962,5.554,1.146,5.213,702.149,604.119,23.879,27180
30,9.909,18.529,8.068,11.572,4.741,9.912,583.611,193.314,25.503,63336
31,10.339,25.497,7.721,14.998,13.479,12.436,483.018,320.755,26.243,59008
32,9.870,26.009,7.585,14.244,9.757,12.468,631.928,321.620,25.227,32556
33,9.636,17.474,7.903,13.635,5.956,13.799,389.173,262.589,27.126,18892
34,7.789,1.547,6.847,7.264,1.527,7.220,709.823,297.354,25.776,21752
35,8.072,1.712,7.089,7.925,1.562,7.917,728.697,327.870,26.486,8496
36,10.242,2.276,10.622,8.488,2.070,9.872,293.797,392.913,26.003,33852
37,11.532,24.415,9.137,17.421,7.205,15.518,523.414,241.879,26.147,51164
38,13.116,2.526,11.428,7.731,1.708,8.749,742.592,487.517,26.772,25372
39,10.251,2.136,9.740,8.028,1.609,8.208,363.253,549.813,26.944,21112
40,12.298,3.231,8.645,6.535,1.051,4.505,768.772,379.594,26.124,14544
41,11.151,27.719,8.579,16.601,13.940,13.056,486.904,404.816,26.747,34020
42,8.801,1.970,8.658,8.303,1.894,9.318,291.984,314.579,29.807,36432
43,8.984,1.924,8.656,7.191,1.612,8.250,579.330,627.155,27.221,24960
44,9.481,2.603,7.637,4.769,0.839,3.229,516.543,750.814,27.337,26536
45,9.327,1.975,8.319,6.483,1.223,5.555,412.869,136.531,27.781,45056
46,18.211,26.167,15.655,17.593,10.829,14.655,353.590,411.053,28.108,18612
47,10.493,25.466,9.683,14.895,6.240,15.693,349.164,297.884,29.689,55924
48,8.314,21.896,7.127,11.043,10.503,10.620,582.726,366.421,29.852,15480
49,9.340,2.300,71.296,8.730,1.684,14.940,595.437,566.658,30.224,59048
50,7.539,1.555,6.505,6.658,1.264,6.407,553.061,111.313,31.759,49664
51,9.253,22.463,7.740,12.854,6.896,12.902,646.720,432.656,30.068,36180
52,10.636,20.189,8.834,12.553,5.789,13.391,434.669,196.183,30.617,58408
53,8.361,18.979,8.036,12.080,6.159,12.431,700.983,376.349,30.778,28240
54,14.373,2.276,108.490,16.007,2.141,24.155,494.684,558.024,30.844,26636
55,20.470,8.054,45.318,22.330,5.197,23.195,462.878,477.224,31.227,4720
56,11.102,16.820,8.815,13.255,4.930,13.206,658.407,257.369,31.279,33552
57,8.162,20.250,6.616,11.753,14.670,8.988,541.101,441.830,32.926,6312
